,"Chinese_by夏堇"
"m_start_GlobalMaskModifiersCamera","相机遮蔽"
"_GlobalMaskModifiersCameraEnable","全局遮罩相机"
"_GlobalMaskModifiersCameraInfo","相机遮罩仅适用于 VRChat。"
"_GlobalMaskCamera_0","1R"
"_GlobalMaskCamera_1","1G"
"_GlobalMaskCamera_2","1B"
"_GlobalMaskCamera_3","1A"
"_GlobalMaskCamera_4","2R"
"_GlobalMaskCamera_5","2G"
"_GlobalMaskCamera_6","2B"
"_GlobalMaskCamera_7","2A"
"_GlobalMaskCamera_8","3R"
"_GlobalMaskCamera_9","3G"
"_GlobalMaskCamera_10","3B"
"_GlobalMaskCamera_11","3A"
"_GlobalMaskCamera_12","4R"
"_GlobalMaskCamera_13","4G"
"_GlobalMaskCamera_14","4B"
"_GlobalMaskCamera_15","4A"
"m_start_GlobalMaskOptions","选项"
"_GlobalMaskOptionsEnable","全局遮罩选项"
"_GlobalMaskOptionsType","类型"
"_GlobalMaskSlider_0","1R"
"_GlobalMaskSlider_1","1G"
"_GlobalMaskSlider_2","1B"
"_GlobalMaskSlider_3","1A"
"_GlobalMaskSlider_4","2R"
"_GlobalMaskSlider_5","2G"
"_GlobalMaskSlider_6","2B"
"_GlobalMaskSlider_7","2A"
"_GlobalMaskSlider_8","3R"
"_GlobalMaskSlider_9","3G"
"_GlobalMaskSlider_10","3B"
"_GlobalMaskSlider_11","3A"
"_GlobalMaskSlider_12","4R"
"_GlobalMaskSlider_13","4G"
"_GlobalMaskSlider_14","4B"
"_GlobalMaskSlider_15","4A"
"_GlobalMaskMinMaxSlider_0","1R"
"_GlobalMaskMinMaxSlider_1","1G"
"_GlobalMaskMinMaxSlider_2","1B"
"_GlobalMaskMinMaxSlider_3","1A"
"_GlobalMaskMinMaxSlider_4","2R"
"_GlobalMaskMinMaxSlider_5","2G"
"_GlobalMaskMinMaxSlider_6","2B"
"_GlobalMaskMinMaxSlider_7","2A"
"_GlobalMaskMinMaxSlider_8","3R"
"_GlobalMaskMinMaxSlider_9","3G"
"_GlobalMaskMinMaxSlider_10","3B"
"_GlobalMaskMinMaxSlider_11","3A"
"_GlobalMaskMinMaxSlider_12","4R"
"_GlobalMaskMinMaxSlider_13","4G"
"_GlobalMaskMinMaxSlider_14","4B"
"_GlobalMaskMinMaxSlider_15","4A"
"_GlobalMaskToggleOn_0","1R"
"_GlobalMaskToggleOn_1","1G"
"_GlobalMaskToggleOn_2","1B"
"_GlobalMaskToggleOn_3","1A"
"_GlobalMaskToggleOn_4","2R"
"_GlobalMaskToggleOn_5","2G"
"_GlobalMaskToggleOn_6","2B"
"_GlobalMaskToggleOn_7","2A"
"_GlobalMaskToggleOn_8","3R"
"_GlobalMaskToggleOn_9","3G"
"_GlobalMaskToggleOn_10","3B"
"_GlobalMaskToggleOn_11","3A"
"_GlobalMaskToggleOn_12","4R"
"_GlobalMaskToggleOn_13","4G"
"_GlobalMaskToggleOn_14","4B"
"_GlobalMaskToggleOn_15","4A"
"_GlobalMaskToggleOff_0","1R"
"_GlobalMaskToggleOff_1","1G"
"_GlobalMaskToggleOff_2","1B"
"_GlobalMaskToggleOff_3","1A"
"_GlobalMaskToggleOff_4","2R"
"_GlobalMaskToggleOff_5","2G"
"_GlobalMaskToggleOff_6","2B"
"_GlobalMaskToggleOff_7","2A"
"_GlobalMaskToggleOff_8","3R"
"_GlobalMaskToggleOff_9","3G"
"_GlobalMaskToggleOff_10","3B"
"_GlobalMaskToggleOff_11","3A"
"_GlobalMaskToggleOff_12","4R"
"_GlobalMaskToggleOff_13","4G"
"_GlobalMaskToggleOff_14","4B"
"_GlobalMaskToggleOff_15","4A"
"m_end_GlobalMaskOptions","全局遮罩选项结束"
"m_end_GlobalMask","全局遮罩结束"
"m_lightingCategory","光照"
"m_start_PoiLightData","光照数据"
"_LightingAOMaps","AO贴图（展开）"
"_LightingAOMapsPan","贴图平移"
"_LightingAOMapsUV","贴图UV"
"_LightDataAOStrengthR","AO强度R"
"_LightDataAOStrengthG","AO强度G"
"_LightDataAOStrengthB","AO强度B"
"_LightDataAOStrengthA","AO强度A"
"_LightingDetailShadowMaps","细节阴影贴图（展开）"
"_LightingDetailShadowMapsPan","阴影贴图平移"
"_LightingDetailShadowMapsUV","阴影贴图UV"
"_LightingDetailShadowStrengthR","阴影强度R"
"_LightingDetailShadowStrengthG","阴影强度G"
"_LightingDetailShadowStrengthB","阴影强度B"
"_LightingDetailShadowStrengthA","阴影强度A"
"_LightingAddDetailShadowStrengthR","附加阴影强度R"
"_LightingAddDetailShadowStrengthG","附加阴影强度G"
"_LightingAddDetailShadowStrengthB","附加阴影强度B"
"_LightingAddDetailShadowStrengthA","附加阴影强度A"
"_LightingShadowMasks","光影蒙版"
"_LightingShadowMasksPan","平移"
"_LightingShadowMasksUV","UV"
"_LightingShadowMaskStrengthR","阴影遮罩强度R"
"_LightingShadowMaskStrengthG","阴影遮罩强度G"
"_LightingShadowMaskStrengthB","阴影遮罩强度B"
"_LightingShadowMaskStrengthA","阴影遮罩强度A"
"_LightingColorMode","光颜色模式"
"_LightingMapMode","光图模式"
"_LightingDirectionMode","光向模式"
"_LightngForcedDirection","强制方向"
"_LightingForceColorEnabled","强制浅色"
"_LightingForcedColor","强制颜色"
"_Unlit_Intensity","未点亮_强度"
"_LightingCapEnabled","限制亮度"
"_LightingCap","最大亮度"
"_LightingMinLightBrightness","最小亮度"
"_LightingIndirectUsesNormals","间接使用法线"
"_LightingCastedShadows","接收投射的阴影"
"_LightingMonochromatic","灰度照明"
"_LightingVertexLightingEnabled","顶点光（不重要）"
"_LightingAdditiveEnable","像素灯（重要）"
"_DisableDirectionalInAdd","忽略方向性"
"_LightingAdditiveLimited","限制亮度"
"_LightingAdditiveLimit","最大亮度"
"_LightingAdditiveMonochromatic","灰度照明"
"_LightingAdditivePassthrough","点光透传"
"_LightDataDebugEnabled","调试"
"_LightingDebugVisualize","可视化"
"m_end_PoiLightData","PP动画"
"m_start_PoiShading","阴影"
"_ShadingEnabled","阴影"
"_LightingMode","照明类型"
"_LightingShadowColor","阴影色调"
"_ToonRamp","照明坡道"
"_ShadowOffset","斜坡偏移"
"_LightingWrappedWrap","包裹"
"_LightingWrappedNormalization","正常化"
"_LightingMulitlayerNonLinear","非线性边缘"
"_ShadowColorTex","阴影贴图"
"_ShadowColorTexPan","平移"
"_ShadowColorTexUV","UV"
"_ShadowColor","阴影颜色"
"_MultilayerMathBlurMap","模糊贴图"
"_MultilayerMathBlurMapPan","平移"
"_MultilayerMathBlurMapUV","UV"
"_ShadowBorder","阴影边界"
"_ShadowBlur","阴影模糊"
"_Shadow2ndColorTex","阴影贴图"
"_Shadow2ndColorTexPan","平移"
"_Shadow2ndColorTexUV","UV"
"_Shadow2ndColor","阴影颜色"
"_Shadow2ndBorder","阴影边界"
"_Shadow2ndBlur","阴影模糊"
"_Shadow3rdColorTex","阴影贴图"
"_Shadow3rdColorTexPan","平移"
"_Shadow3rdColorTexUV","UV"
"_Shadow3rdColor","阴影颜色"
"_Shadow3rdBorder","阴影边界"
"_Shadow3rdBlur","阴影模糊"
"_ShadowBorderColor","边框颜色"
"_ShadowBorderRange","边界范围"
"_ShadowMainStrength","对比"
"_LightingGradientStart","梯度"
"_LightingGradientEnd","渐变结束"
"_1st_ShadeColor","第一阴影颜色"
"_1st_ShadeMap","第一阴影图"
"_1st_ShadeMapPan","第一阴影图平移"
"_1st_ShadeMapUV","第一阴影图UV"
"_Use_1stShadeMapAlpha_As_ShadowMask","第一个 ShadeMap.a 作为 ShadowMask"
"_1stShadeMapMask_Inverse","第一个 ShadeMapMask 逆"
"_Use_BaseAs1st","使用底图作为第一个着色图"
"_2nd_ShadeColor","第二阴影颜色"
"_2nd_ShadeMap","第二阴影贴图"
"_2nd_ShadeMapPan","平移"
"_2nd_ShadeMapUV","UV"
"_Use_2ndShadeMapAlpha_As_ShadowMask","使用第二阴影图 Alpha 作为阴影遮罩"
"_2ndShadeMapMask_Inverse","第二阴影图遮罩反转"
"_Use_1stAs2nd","使用第一个 ShadeMap 作为第二个 ShadeMap"
"_BaseColor_Step","基色_步骤"
"_BaseShade_Feather","基础/阴影_羽化"
"_ShadeColor_Step","阴影颜色_步骤"
"_1st2nd_Shades_Feather","第一/第二阴影_羽化"
"_ShadingShadeMapBlendType","阴影贴图混合模式"
"_SkinLUT","皮肤LUT"
"_SssScale","次表面散射规模"
"_SkinThicknessMap","皮肤厚度图"
"_SkinThicknessMapPan","皮肤厚度图平移"
"_SkinThicknessMapUV","皮肤厚度图UV"
"_SkinThicknessMapInvert","皮肤厚度图反转"
"_SkinThicknessPower","皮肤厚度强度"
"_SssBumpBlur","次表面散射法线模糊"
"_SssTransmissionAbsorption","次表面散射传输吸收"
"_SssColorBleedAoWeights","次表面散射AO颜色渗色权重"
"_ClothDFG","布料DFG"
"_ClothMetallicSmoothnessMap","布料金属光滑度贴图（展开）"
"_ClothMetallicSmoothnessMapPan","布料金属光滑度贴图平移"
"_ClothMetallicSmoothnessMapInvert","布料金属光滑度贴图反转"
"_ClothMetallicSmoothnessMapUV","布料金属光滑度贴图UV"
"_ClothLerp","布料插值"
"_ClothReflectance","布料反射率"
"_ClothSmoothness","布料光滑度"
"_SDFShadingTexture","SDF着色纹理"
"_SDFShadingTexturePan","SDF着色纹理平移"
"_SDFShadingTextureUV","UV"
"_SDFBlur","模糊"
"_SDFForward","前进方向"
"_SDFLeft","左方向"
"_ShadowStrength","暗影强度"
"_LightingIgnoreAmbientColor","忽略间接阴影颜色"
"_LightingAdditiveType","照明类型"
"_LightingAdditiveGradientStart","梯度"
"_LightingAdditiveGradientEnd","渐变结束"
"m_end_PoiShading","阴影"
"m_start_Aniso","各向异性"
"_EnableAniso","各向异性"
"_AnisoColorMap","颜色和偏移"
"_AnisoColorMapPan","平移"
"_AnisoColorMapUV","UV"
"_AnisoUseLightColor","混合浅色"
"_AnisoUseBaseColor","混合基色"
"_AnisoReplace","替换混合"
"_AnisoAdd","添加混合"
"_AnisoHideInShadow","隐藏在阴影中"
"_Aniso0Power","各向异性强度"
"_Aniso0Strength","各向异性强度"
"_Aniso0Offset","各向异性偏移"
"_Aniso0OffsetMapStrength","偏移贴图强度"
"_Aniso0Tint","各向异性色调"
"_Aniso0SwitchDirection","切换方向"
"_Aniso0ToonMode","卡通模式"
"_Aniso0Edge","各向异性边缘"
"_Aniso0Blur","各向异性模糊"
"_Aniso1Power","各向异性强度"
"_Aniso1Strength","各向异性强度"
"_Aniso1Offset","各向异性偏移"
"_Aniso1OffsetMapStrength","偏移贴图强度"
"_Aniso1Tint","各向异性色调"
"_Aniso1SwitchDirection","切换方向"
"_Aniso1ToonMode","卡通模式"
"_Aniso1Edge","边缘"
"_Aniso1Blur","模糊"
"_AnisoDebugToggle","调试"
"_AnisoDebugMode","可视化"
"m_end_Ansio","各向异性"
"m_start_matcap","Matcap 1"
"_MatcapEnable","Matcap"
"_MatcapUVMode","UV模式"
"_MatcapColor","颜色"
"_Matcap","Matcap"
"_MatcapBorder","边界"
"_MatcapMask","遮罩"
"_MatcapMaskPan","遮罩平移"
"_MatcapMaskUV","遮罩UV"
"_MatcapMaskChannel","遮罩通道"
"_MatcapMaskInvert","遮罩反转"
"_MatcapMaskGlobalMask","全局遮罩"
"_MatcapMaskGlobalMaskBlendType","全局遮罩混合类型"
"_MatcapEmissionStrength","发光强度"
"_MatcapIntensity","强度"
"_MatcapLightMask","光照遮罩"
"_MatcapReplace","替换混合"
"_MatcapMultiply","乘法混合"
"_MatcapAdd","添加混合"
"_MatcapMixed","混合"
"_MatcapAddToLight","添加到光照"
"_MatcapAlphaOverride","覆盖Alpha"
"_MatcapNormal","法线"
"_Matcap0CustomNormal","<size=13><b>自定义法线</b></size>"
"_Matcap0NormalMap","法线贴图"
"_Matcap0NormalMapPan","法线贴图平移"
"_Matcap0NormalMapUV","法线贴图UV"
"_Matcap0NormalMapScale","法线贴图强度"
"_MatcapHueShiftEnabled","<size=13><b>色相偏移</b></size>"
"_MatcapHueShiftSpeed","色相偏移速度"
"_MatcapHueShift","色相偏移"
"_MatcapTPSDepthEnabled","<size=13><b>TPS深度遮罩已</b></size>"
"_MatcapTPSMaskStrength","TPS遮罩强度"
"m_end_matcap","Matcap"
"m_start_Matcap2","Matcap 2"
"_Matcap2Enable","Matcap 2"
"_Matcap2UVMode","UV模式"
"_Matcap2Color","颜色"
"_Matcap2","Matcap 2"
"_Matcap2Border","边界"
"_Matcap2Mask","遮罩"
"_Matcap2MaskPan","遮罩平移"
"_Matcap2MaskUV","遮罩UV"
"_Matcap2MaskChannel","遮罩通道"
"_Matcap2MaskInvert","反转遮罩"
"_Matcap2MaskGlobalMask","全局遮罩"
"_Matcap2MaskGlobalMaskBlendType","全局遮罩混合类型"
"_Matcap2EmissionStrength","发光强度"
"_Matcap2Intensity","强度"
"_Matcap2LightMask","光照遮罩"
"_Matcap2Replace","替换混合"
"_Matcap2Multiply","乘法混合"
"_Matcap2Add","添加混合"
"_Matcap2Mixed","混合"
"_Matcap2AddToLight","添加到光照"
"_Matcap2AlphaOverride","覆盖Alpha"
"_Matcap2Normal","法线"
"_Matcap1CustomNormal","自定义法线"
"_Matcap1NormalMap","法线贴图"
"_Matcap1NormalMapPan","法线贴图平移"
"_Matcap1NormalMapUV","法线贴图UV"
"_Matcap1NormalMapScale","法线贴图强度"
"_Matcap2HueShiftEnabled","<size=13><b>色相偏移</b></size>"
"_Matcap2HueShiftSpeed","色相偏移速度"
"_Matcap2HueShift","色相偏移"
"_Matcap2TPSDepthEnabled","<size=13><b>TPS深度遮罩</b></size>"
"_Matcap2TPSMaskStrength","TPS遮罩强度"
"m_end_Matcap2","Matcap2end"
"m_start_Matcap3","Matcap 3"
"_Matcap3Enable","Matcap 3"
"_Matcap3UVMode","UV模式"
"_Matcap3Color","颜色"
"_Matcap3","Matcap 3"
"_Matcap3Border","边界"
"_Matcap3Mask","遮罩"
"_Matcap3MaskChannel","遮罩通道"
"_Matcap3MaskPan","遮罩平移"
"_Matcap3MaskUV","遮罩UV"
"_Matcap3MaskInvert","反转遮罩"
"_Matcap3MaskGlobalMask","全局遮罩"
"_Matcap3MaskGlobalMaskBlendType","全局遮罩混合类型"
"_Matcap3EmissionStrength","发光强度"
"_Matcap3Intensity","强度"
"_Matcap3LightMask","光照遮罩"
"_Matcap3Replace","替换混合"
"_Matcap3Multiply","乘法混合"
"_Matcap3Add","添加混合"
"_Matcap3Mixed","混合"
"_Matcap3AddToLight","添加到光照"
"_Matcap3AlphaOverride","覆盖Alpha"
"_Matcap3Normal","法线"
"_Matcap2CustomNormal","自定义法线"
"_Matcap2NormalMap","法线贴图"
"_Matcap2NormalMapPan","法线贴图平移"
"_Matcap2NormalMapUV","法线贴图UV"
"_Matcap2NormalMapScale","法线贴图强度"
"_Matcap3HueShiftEnabled","<size=13><b>色相偏移</b></size>"
"_Matcap3HueShiftSpeed","色相偏移速度"
"_Matcap3HueShift","色相偏移"
"_Matcap3TPSDepthEnabled","<size=13><b>TPS深度遮罩</b></size>"
"_Matcap3TPSMaskStrength","TPS遮罩强度"
"m_end_Matcap3","Matcap 3"
"m_start_Matcap4","Matcap 4"
"_Matcap4Enable","Matcap 4"
"_Matcap4UVMode","UV模式"
"_Matcap4Color","颜色"
"_Matcap4","Matcap 4"
"_Matcap4Border","边界"
"_Matcap4Mask","遮罩"
"_Matcap4MaskPan","遮罩平移"
"_Matcap4MaskUV","遮罩UV"
"_Matcap4MaskChannel","遮罩通道"
"_Matcap4MaskInvert","反转遮罩"
"_Matcap4MaskGlobalMask","全局遮罩"
"_Matcap4MaskGlobalMaskBlendType","全局遮罩混合方式"
"_Matcap4EmissionStrength","发光强度"
"_Matcap4Intensity","强度"
"_Matcap4LightMask","光照遮罩"
"_Matcap4Replace","替换混合"
"_Matcap4Multiply","乘法混合"
"_Matcap4Add","添加混合"
"_Matcap4Mixed","混合"
"_Matcap4AddToLight","添加至光源"
"_Matcap4AlphaOverride","覆盖Alpha"
"_Matcap4Normal","法线"
"_Matcap3CustomNormal","自定义法线"
"_Matcap3NormalMap","法线贴图"
"_Matcap3NormalMapPan","法线贴图平移"
"_Matcap3NormalMapUV","法线贴图UV"
"_Matcap3NormalMapScale","法线贴图缩放"
"_Matcap4HueShiftEnabled","<size=13><b>色相偏移</b></size>"
"_Matcap4HueShiftSpeed","色相偏移速度"
"_Matcap4HueShift","色相偏移"
"_Matcap4TPSDepthEnabled","<size=13><b>TPS深度遮罩已</b></size>"
"_Matcap4TPSMaskStrength","TPS遮罩强度"
"m_end_Matcap4","Matcap 4"
"m_start_CubeMap","立方体贴图"
"_CubeMapEnabled","立方体贴图"
"_CubeMapUVMode","UV模式"
"_CubeMapWorldNormalsStrength","法线强度"
"_CubeMapColor","颜色"
"_CubeMap","贴图"
"_CubeMapRotation","旋转角度"
"_CubeMapRotationPan","旋转平移"
"_CubeMapMask","遮罩"
"_CubeMapMaskPan","遮罩平移"
"_CubeMapMaskUV","遮罩UV"
"_CubeMapMaskChannel","遮罩通道"
"_CubeMapMaskInvert","反转遮罩"
"_CubeMapMaskGlobalMask","全局遮罩"
"_CubeMapMaskGlobalMaskBlendType","全局遮罩混合类型"
"_CubeMapEmissionStrength","发光强度"
"_CubeMapIntensity","颜色强度"
"_CubeMapLightMask","光照遮罩"
"_CubeMapReplace","替换贴图"
"_CubeMapMultiply","乘以贴图"
"_CubeMapAdd","添加贴图"
"_CubeMapNormal","法线"
"_CubeMapHueShiftEnabled","色相偏移"
"_CubeMapHueShiftSpeed","色相偏移速度"
"_CubeMapHueShift","色相偏移"
"m_end_CubeMap","立方体贴图结束"
"m_start_rimLightOptions","边缘光选项"
"m_start_rimLight1Options","边缘光 1 选项"
"_EnableRimLighting","边缘光"
"_RimStyle","风格"
"_RimTex","纹理"
"_RimTexPan","纹理平移"
"_RimTexUV","纹理UV"
"_RimMask","遮罩"
"_RimMaskPan","遮罩平移"
"_RimMaskUV","遮罩UV"
"_RimMaskChannel","遮罩通道"
"_RimGlobalMask","全局遮罩"
"_RimGlobalMaskBlendType","全局遮罩混合类型"
"_Is_NormalMapToRimLight","法线贴图"
"_RimLightingInvert","反转"
"_RimLightColor","边缘光颜色"
"_RimWidth","边缘宽度"
"_RimSharpness","边缘清晰度"
"_RimPower","边缘强度"
"_RimStrength","边缘发射强度"
"_RimBaseColorMix","混合基色"
"_RimBlendMode","混合模式"
"_RimBrightness","亮度"
"_RimBlendStrength","混合强度"
"_RimClamp","边缘限制强度"
"_RimApplyGlobalMaskIndex","适用于全局遮罩"
"_RimApplyGlobalMaskBlendType","混合"
"_Set_RimLightMask","设置边缘光遮罩"
"_Tweak_RimLightMaskLevel","调整边缘光遮罩级别"
"_Is_LightColor_RimLight","混合光颜色"
"_RimLight_Power","边缘光功率"
"_RimLight_InsideMask","遮罩内"
"_RimLight_FeatherOff","边缘光羽化关闭"
"_LightDirection_MaskOn","<size=13><b>光方向遮罩</b></size>"
"_Tweak_LightDirection_MaskLevel","光方向遮罩级别调整"
"_Add_Antipodean_RimLight","<size=13><b>添加对边缘光</b></size>"
"_Is_LightColor_Ap_RimLight","混合对边缘光颜色"
"_Ap_RimLightColor","对边缘光颜色"
"_Ap_RimLight_Power","对边缘光功率"
"_Ap_RimLight_FeatherOff","关闭对边缘光羽化"
"_RimColor","边缘光颜色"
"_RimColorTex","边缘光纹理"
"_RimColorTexPan","边缘光纹理平移"
"_RimColorTexUV","边缘光纹理UV"
"_RimMainStrength","主边缘光强度"
"_RimNormalStrength","法线强度"
"_RimBorder","边缘"
"_RimBlur","边缘模糊"
"_RimFresnelPower","菲涅耳效应强度"
"_RimEnableLighting","边缘光照"
"_RimShadowMask","边缘光阴影遮罩"
"_RimBackfaceMask","边缘光背面遮罩"
"_RimVRParallaxStrength","VR视差强度"
"_RimDirStrength","光向强度"
"_RimDirRange","方向光宽度"
"_RimIndirRange","间接光宽度"
"_RimIndirColor","间接光颜色"
"_RimIndirBorder","间接光边界"
"_RimIndirBlur","间接光模糊"
"_RimShadowToggle","<size=13><b>光方向遮罩</b></size>"
"_RimShadowMaskRampType","光衰减类型"
"_RimShadowMaskInvert","反转阴影遮罩"
"_RimShadowMaskStrength","阴影遮罩强度"
"_RimShadowAlpha","阴影透明度"
"_RimShadowWidth","阴影宽度"
"_RimHueShiftEnabled","<size=13><b>色相偏移</b></size>"
"_RimHueShiftSpeed","色相偏移速度"
"_RimHueShift","色相偏移"
"m_start_RimAudioLink","音频链接 ♫"
"_AudioLinkRimWidthBand","音频宽度频带"
"_AudioLinkRimWidthAdd","音频宽度添加"
"_AudioLinkRimEmissionBand","音频发光频带"
"_AudioLinkRimEmissionAdd","音频发光添加"
"_AudioLinkRimBrightnessBand","音频亮度频带"
"_AudioLinkRimBrightnessAdd","音频亮度添加"
"m_end_RimAudioLink","音频链接结束"
"m_end_rim1LightOptions","边缘光照 1 选项结束"
"m_start_rim2LightOptions","边缘光照 2 选项"
"_EnableRim2Lighting"," Rim2 照明"
"_Rim2Style","风格"
"_Rim2Tex","纹理"
"_Rim2TexPan","平移"
"_Rim2TexUV","UV"
"_Rim2Mask","边缘遮罩"
"_Rim2MaskPan","平移"
"_Rim2MaskUV","UV"
"_Rim2MaskChannel","通道"
"_Rim2GlobalMask","全局遮罩"
"_Rim2GlobalMaskBlendType","混合"
"_Is_NormalMapToRim2Light","法线贴图"
"_Rim2LightingInvert","反转"
"_Rim2LightColor","颜色"
"_Rim2Width","宽度"
"_Rim2Sharpness","清晰度"
"_Rim2Power","功率"
"_Rim2Strength","强度"
"_Rim2BaseColorMix","基色混合"
"_Rim2BlendMode","混合模式"
"_Rim2Brightness","亮度"
"_Rim2BlendStrength","混合强度"
"_Rim2Clamp","限制强度"
"_Rim2ApplyGlobalMaskIndex","应用全局遮罩索引"
"_Rim2ApplyGlobalMaskBlendType","全局遮罩混合类型"
"_Set_Rim2LightMask","设置遮罩"
"_Tweak_Rim2LightMaskLevel","调整遮罩级别"
"_Is_LightColor_Rim2Light","混合颜色"
"_Rim2Light_Power","功率"
"_Rim2Light_InsideMask","遮罩内"
"_Rim2Light_FeatherOff","关闭羽化"
"_LightDirection_MaskOn2","<size=13><b>光方向遮罩</b></size>"
"_Tweak_LightDirection_MaskLevel2","光方向遮罩级别"
"_Add_Antipodean_Rim2Light","<size=13><b>Antipodean(Ap) 边缘</b></size>"
"_Is_LightColor_Ap_Rim2Light","混合对边缘光颜色"
"_Ap_Rim2LightColor","对边缘光颜色"
"_Ap_Rim2Light_Power","对边缘光功率"
"_Ap_Rim2Light_FeatherOff","关闭对边缘光羽化"
"_Rim2Color","颜色"
"_Rim2ColorTex","纹理"
"_Rim2ColorTexPan","纹理平移"
"_Rim2ColorTexUV","纹理UV"
"_Rim2MainStrength","主强度"
"_Rim2NormalStrength","法线强度"
"_Rim2Border","边界"
"_Rim2Blur","模糊"
"_Rim2FresnelPower","菲涅耳效应强度"
"_Rim2EnableLighting","照明"
"_Rim2ShadowMask","阴影遮罩"
"_Rim2BackfaceMask","背面遮罩"
"_Rim2VRParallaxStrength","VR视差强度"
"_Rim2DirStrength","方向光强度"
"_Rim2DirRange","方向光宽度"
"_Rim2IndirRange","间接光宽度"
"_Rim2IndirColor","间接光颜色"
"_Rim2IndirBorder","间接光边界"
"_Rim2IndirBlur","间接光模糊"
"_Rim2ShadowToggle","<size=13><b>光方向遮罩</b></size>"
"_Rim2ShadowMaskRampType","光衰减类型"
"_Rim2ShadowMaskInvert","反转阴影遮罩"
"_Rim2ShadowMaskStrength","阴影遮罩强度"
"_Rim2ShadowAlpha","透明遮罩"
"_Rim2ShadowWidth","阴影宽度"
"_Rim2HueShiftEnabled","<size=13><b>色相偏移</b></size>"
"_Rim2HueShiftSpeed","色相偏移速度"
"_Rim2HueShift","色相偏移"
"m_start_Rim2AudioLink","音频链接 ♫"
"_AudioLinkRim2WidthBand","音频宽度频带"
"_AudioLinkRim2WidthAdd","音频宽度添加"
"_AudioLinkRim2EmissionBand","音频发光频带"
"_AudioLinkRim2EmissionAdd","音频发光添加"
"_AudioLinkRim2BrightnessBand","音频亮度频带"
"_AudioLinkRim2BrightnessAdd","音频亮度添加"
"m_end_Rim2AudioLink","音频链接结束"
"m_end_rim2LightOptions","边缘光 2 选项结束"
"m_end_rimLightOptions","边缘光选项结束"
"m_start_depthRimLightOptions","深度边缘光选项"
"_DepthRimNormalToUse","使用法线"
"_DepthRimType","边缘光类型"
"_DepthRimWidth","边缘光宽度"
"_DepthRimSharpness","边缘光清晰度"
"_DepthRimHideInShadow","隐藏在阴影中"
"_DepthRimMixBaseColor","混合基色"
"_DepthRimMixLightColor","混合光色"
"_DepthRimColor","边缘光颜色"
"_DepthRimBrightness","边缘光亮度"
"_DepthRimEmission","边缘光发光"
"_DepthRimReplace","替换"
"_DepthRimAdd","添加"
"_DepthRimMultiply","乘"
"_DepthRimAdditiveLighting","添加到光照"
"m_end_depthRimLightOptions","RimLight"
"_SubsurfaceScattering","次表面散射"
"_SSSColor","次表面颜色"
"_SSSThicknessMap","厚度图"
"_SSSThicknessMapPan","厚度图平移"
"_SSSThicknessMapUV","厚度图UV"
"_SSSThicknessMapChannel","厚度图通道"
"_SSSThicknessMod","厚度模数"
"_SSSStrength","光强度"
"_SSSSpread","光传播"
"_SSSDistortion","光畸变"
"m_start_brdf","反射和镜面反射"
"_MochieBRDF","BRDF"
"_MochieReflectionStrength","反射强度"
"_MochieSpecularStrength","镜面强度"
"_MochieMetallicMultiplier","金属度"
"_MochieRoughnessMultiplier","粗糙度"
"_MochieReflectionTint","反射色调"
"_MochieSpecularTint","镜面色调"
"_MochieMetallicMaps","金属贴图"
"_MochieMetallicMapsPan","金属贴图平移"
"_MochieMetallicMapsUV","金属贴图UV"
"_MochieMetallicMapsMetallicChannel","金属通道"
"_MochieMetallicMapsRoughnessChannel","粗糙度通道"
"_MochieMetallicMapsReflectionMaskChannel","反射遮罩通道"
"_MochieMetallicMapsSpecularMaskChannel","镜面遮罩通道"
"_MochieMetallicMapInvert","反转金属贴图"
"_MochieRoughnessMapInvert","反转粗糙度贴图"
"_MochieReflectionMaskInvert","反转反射遮罩"
"_MochieSpecularMaskInvert","反转镜面遮罩"
"_MochieMetallicMapsStochastic","金属贴图随机抽样"
"_PBRSplitMaskSample","<size=13><b>分割遮罩采样</b></size>"
"_PBRMaskScaleTiling","平铺/偏移"
"_MochieMetallicMasksUV","金属遮罩UV"
"_PBRSplitMaskStochastic","分割遮罩随机抽样"
"_MochieMetallicMasksPan","金属遮罩平移"
"_Specular2ndLayer","<size=13><b>第二层镜面反射</b></size>"
"_MochieSpecularStrength2","镜面强度"
"_MochieRoughnessMultiplier2","粗糙度"
"_MochieReflCube","备用立方体贴图"
"_MochieForceFallback","强制回退"
"_MochieLitFallback","点亮备用"
"m_start_brdfadvanced","高级"
"_IgnoreCastedShadows","忽略投射阴影"
"_PBRNormalSelect","像素法线混合"
"_RefSpecFresnel","菲涅耳反射"
"_MochieGSAAEnabled","<size=13><b>GSAA</b></size>"
"_PoiGSAAVariance","GSAA方差"
"_PoiGSAAThreshold","GSAA阈值"
"_BRDFTPSDepthEnabled","<size=13><b>TPS深度</b></size>"
"_BRDFTPSReflectionMaskStrength","反射遮罩强度"
"_BRDFTPSSpecularMaskStrength","镜面遮罩强度"
"m_start_brdfglobalmask","全局遮罩"
"_MochieReflectionStrengthGlobalMask","反射强度"
"_MochieReflectionStrengthGlobalMaskBlendType","反射强度全局遮罩混合类型"
"_MochieSpecularStrengthGlobalMask","镜面强度"
"_MochieSpecularStrengthGlobalMaskBlendType","镜面强度全局遮罩混合类型"
"m_start_clearCoat","清漆"
"_ClearCoatBRDF","清漆BRDF"
